Tahun,Merek,Model,Bahan_Bakar,Jenis_Kendaraan,Km
2000,FIAT,MAREA,PETROL,MANUAL,"215725,0"
2010,PEUGEOT,206,DIESEL,MANUAL,"245682,0"
2012,PEUGEOT,208,PETROL,MANUAL,75055
2005,FIAT,ALBEA,PETROL,AUTOMATIC,87590
2012,RENAULT,KANGOO,DIESEL,MANUAL,22
2010,PEUGEOT,206,DIESEL,MANUAL,215386
2011,HYUNDAI,GETZ,DIESEL,MANUAL,108762
2013,RENAULT,SYMBOL,DIESEL,MANUAL,83556
2014,RENAULT,SYMBOL,DIESEL,MANUAL,"66738,0"
2014,RENAULT,SYMBOL,DIESEL,MANUAL,0
2013,RENAULT,SYMBOL,DIESEL,MANUAL,75869
2013,RENAULT,sYMBOL,DIESEL,MANUAL,104
2014,RENAULT,FLUENCE,DIESEL,MANUAL,"793,0"
2014,RENAULT,SYMBOL,DIESEL,MANUAL,98375
2013,RENAULT,CLIO_III,DIESEL,MANUAL,1199
2014,RENAULT,syMBOL,DIESEL,MANUAL,"91182,0"
2015,RENAULT,SYMBOL,DIESEL,MANUAL,54694
2013,RENAULT,SYMBOL,DIESEL,MANUAL,0
2015,RENAULT,SYMBOL,DIESEL,MANUAL,51
2014,RENAULT,SYMBOL,DIESEL,MANUAL,52441
2013,FORD,FiESTA,DIESEL,MANUAL,"165779,0"
2014,RENAULT,SymBOL,DIESEL,MANUAL,95809
2014,RENAULT,SYMBOL,DIESEL,MANUAL,96221
2015,RENAULT,SYMBOL,dIESEL,MANUAL,"47552,0"
2014,RENAULT,SYMBOL,DIESEL,MANUAL,92403
2015,RENAULT,SYMBOL,DIESEL,maNUAL,37332
2013,PEUGEOT,301,DIESEL,MANUAL,73979
2013,RENAULT,FLUENCE,DIESEL,MANUAL,182316
2014,RENAULT,SYMBOL,DIESEL,MANUAL,100
2014,RENAULT,SYMBOL,dieSEL,MANUAL,"97202,0"
2014,RENAULT,SYMBOL,DIESel,MANUAL,92035
2013,RENAULT,FLUENCE,DIESEL,MANUAL,"191554,0"
2013,dACIA,LODGY,diESEL,MANUAL,76812
2013,RENAULT,FLUENCE,DIESEL,MANUAL,172
2013,RENAULT,FLUENCE,DIESEL,MANUAL,"183850,0"
2013,FIAT,DOBLO,DIESEL,MANUAL,52146
2013,rENAULT,FLUENCE,DIESEL,MANUAL,131219
2015,RENAULT,SYMBOL,DIESEL,MANUAL,57311
2013,RENAULT,FLUENCE,DIESEL,MANUAL,105056
2015,RENAULT,SYMBOL,DIESEL,MANUAL,95510
2013,FIAT,DOBLO,DIESEL,MANUAL,41839
2013,FIAT,DOBLO,DIESEL,MANUAL,48662
2013,FIAT,dobLO,DIESEL,MANUAL,46841
2013,FORD,Fiesta,DIESEL,MANUAL,110993
2013,RENAULT,Clio,DIESEL,MANUAL,62059
2015,RENAULT,SYMBOL,DIESEL,MANUAL,77379
2013,DACIA,LODGY,DIESEL,MANUAL,51374
2013,dACIA,lODGY,DIESEL,MANUAL,94971
2013,DACIA,LODGY,PETROL,MANUAL,47347
2015,RENAULT,sYMBOL,DIESEL,MANUAL,111625
2013,DACIA,LODGY,DIESEL,MANUAL,85
2011,FORD,FOCUS,diesel,MANUAL,141020
2015,RENAULT,SYMBOL,DIESEL,MANUAL,91411
2013,DACIA,LODGY,DIESEL,MANUAL,90061
2013,RENAULT,FLUENCE,DIESEL,MANUAL,181
2014,RENAULT,sYMBOL,DIESEL,MANUAL,16400
2016,TOYOTA,yAris,PETROL,MANUAL,6
2013,RENAULT,FLUENCE,petrol,MANUAL,125155
2015,RENAULT,syMBOL,DIESEL,manual,54254
2013,DACIA,loDGY,DIESEL,MANUAL,75402
2013,DACIA,LODGY,DIESEL,MANUAL,102140
2013,RENAULT,CLIO,DIESEL,MANUAL,134778
2013,DACIA,LODGY,DIESEL,MANUAL,99810
2013,RENAULT,FLUENCE,DIESEL,MANUAL,155406
2015,RENAULT,SYMBOL,DIESEL,MANUAL,8
2013,DACIA,LODGY,DIESEL,MANUAL,103561
2013,DACIA,LODGY,DIESEL,manual,82707
2013,RENAULT,FLUENCE,DIESEL,MANUAL,167421
2013,RENAULT,FLUENCE,DIESEL,MANUAL,139985
2015,RENAULT,SYMBOL,DIESEL,MANUAL,73445
2013,RENAULT,FLUENCE,DIESEL,MANUAL,92025
2013,RENAULT,CLIO_III,DIESEL,MANUAL,115293
2013,RENAULT,FLUENCE,DIESEL,Manual,174640
2013,FORD,FIESTA,DIESEL,MANUAL,126782
2013,DACIA,LODGY,DIESEL,MANUAL,72954
2013,DACIA,LODGY,DIESEL,MANUAL,"6,0"
2013,RENAULT,CLIO_III,DIESEL,aUTOMATIC,117905
2013,RENAULT,CLIO_III,DIESEL,MANUAL,95907
2013,DACIA,LODGY,DIESEL,MANUAL,96531
2013,RENAULT,CLIO,DIESEL,MANUAL,84420
2013,DACIA,LODGY,DIESEL,maNUAL,87295
2013,RENAULT,CLIO_III,DIESEL,MANUAL,138327
