Merek,Model,Tahun,Km
TOYOTA,YARIS,2016,6
RENAULT,KANGOO,2012,22
BMW,3 SERISI,2012,150
OPEL,S60,2016,303
MERCEDES BENZ,C SERISI,2013,1207
HYUNDAI,ACCENT BLUE,2016,2000
OPEL,CORSA,2015,5772
MERCEDES BENZ,GLA SERISI,2016,13072
RENAULT,CLIO,2016,18557
MERCEDES BENZ,E SERISI,2015,18731
BMW,1 SERISI,2016,19570
KIA,SPORTAGE,2016,19657
VOLKSWAGEN,GOLF,2016,21234
FORD,FOCUS,2016,23304
RENAULT,CLIO IV,2016,23990
HYUNDAI,I20,2015,25378
OPEL,ASTRA,2012,25589
MINI,COOPER,2015,25919
MERCEDES BENZ,A SERISI,2016,26388
MERCEDES BENZ,C SERISI,2015,26621
DACIA,SANDERO,2015,27094
DACIA,LOGAN,2014,28767
AUDI,A4,2012,28887
HYUNDAI,ACCENT BLUE,2015,34271
RENAULT,SYMBOL,2016,37282
MERCEDES BENZ,C SERISI,2016,39050
BMW,X5,2014,39170
BMW,2 SERISI,2015,39774
PEUGEOT,308,2015,41081
MERCEDES BENZ,A SERISI,2015,42144
MINI,COUNTRYMAN,2012,42295
NISSAN,QASHQAI,2014,43182
VOLKSWAGEN,JETTA,2015,43473
TOYOTA,AURIS,2012,44400
FORD,TRANSIT,2015,45354
VOLVO,S60,2015,46263
MERCEDES BENZ,C SERISI,2012,48306
OPEL,ASTRA,2016,49160
VOLKSWAGEN,POLO,2015,49535
DACIA,LODGY,2015,50803
FIAT,DOBLO,2002,50898
RENAULT,MEGANE IV,2015,52535
FIAT,EGEA,2016,53761
FIAT,FREEMONT,2013,53938
DACIA,SANDERO,2012,54360
PEUGEOT,208,2014,57456
AUDI,A3,2015,58566
DACIA,SANDERO,2011,59896
AUDI,A4,2014,61843
CITROEN,C5,2014,62925
BMW,1 SERISI,2014,63707
PEUGEOT,508,2015,66949
FIAT,ALBEA,2009,67527
BMW,X3,2015,70000
VOLVO,S80,2012,71962
HYUNDAI,MAREA,2014,72820
HYUNDAI,GETZ,2010,73576
NISSAN,X TRAIL,2015,74489
OPEL,MERIVA,2011,74736
HYUNDAI,I20,2016,74858
PEUGEOT,208,2012,75055
NISSAN,JUKE,2011,75850
FORD,B MAX,2013,76337
MERCEDES BENZ,A SERISI,2014,77351
NISSAN,MICRA,2016,78175
PEUGEOT,508,2012,82994
VOLKSWAGEN,PASSAT,2015,85284
FIAT,LINEA,2015,86037
VOLKSWAGEN,PASSAT,2012,86207
FIAT,ALBEA,2005,87590
SEAT,LEON,2012,87856
SKODA,OCTAVIA,2016,89413
FORD,TOURNEO,2015,91493
AUDI,A5,2013,91704
BMW,5 SERISI,2016,93087
OPEL,INSIGNIA,2012,93548
BMW,3 SERISI,2014,93557
TOYOTA,COROLLA,2015,93880
MERCEDES BENZ,CLA SERISI,2015,93911
FORD,B MAX,2014,94233
SKODA,YETI,2012,96029
PEUGEOT,208,2016,96073
FORD,TRANSIT,2010,102556
CHEVROLET,SPARK,2005,103341
HYUNDAI,SANTA FE,2013,105014
HYUNDAI,GETZ,2011,108762
FIAT,PUNTO,2013,109154
TOYOTA,AURIS,2013,111606
OPEL,CORSA,2014,112630
RENAULT,CLIO,2014,112666
PEUGEOT,BOXER,2013,117278
RENAULT,FLUENCE,2016,119424
RENAULT,CLIO IV,2014,119920
HYUNDAI,ACCENT ERA,2012,120394
FIAT,500L,2014,121914
HYUNDAI,MATRIX,2011,122725
HYUNDAI,I30,2014,124819
CITROEN,C ELYSEE,2013,127042
FORD,TOURNEO,2014,131672
RENAULT,LATITUDE,2014,138272
FORD,MONDEO,2011,139275
FORD,FOCUS,2011,141020
NISSAN,QASHQAI,2013,141443
KIA,RIO,2004,143091
RENAULT,CLIO,2011,143171
FIAT,LINEA,2010,143732
TOYOTA,COROLLA,2000,144675
VOLVO,S60,2012,146310
FORD,MONDEO,2013,147164
MERCEDES BENZ,C SERISI,2011,150141
AUDI,A4,2010,150636
AUDI,A5,2011,151931
OPEL,ASTRA,2015,154307
TOYOTA,COROLLA,2006,157127
KIA,CEE'D,2013,160891
FIAT,FIORINO,2009,163631
FORD,TRANSIT,2011,164466
RENAULT,MEGANE II,2009,165122
OPEL,ASTRA,2006,166587
KIA,SPORTAGE,2005,166734
FIAT,LINEA,2011,169861
RENAULT,MEGANE II,2008,170245
HYUNDAI,TUCSON,2005,170301
VOLKSWAGEN,JETTA,2008,170529
MAZDA,RX 8,2006,171558
VOLVO,S60,2013,173364
LAND ROVER,DISCOVERY III,2008,174077
HYUNDAI,ACCENT,2001,175913
BMW,3 SERISI,2015,178433
MERCEDES BENZ,GLK SERISI,2012,179486
PEUGEOT,BIPPER,2010,184623
FIAT,500L,2013,186146
BMW,5 SERISI,2014,186499
DACIA,DUSTER,2015,186700
FORD,FOCUS,2012,187562
VOLKSWAGEN,PASSAT,2014,193484
TOYOTA,COROLLA,2013,194408
RENAULT,CLIO IV,2015,200010
PEUGEOT,301,2015,201542
FORD,FOCUS,2015,201826
CITROEN,C5,2015,204675
FORD,MONDEO,2010,207832
BMW,5 SERISI,2013,210448
FORD,FIESTA,2012,211878
BMW,5 SERISI,2015,212386
HYUNDAI,ACCENT ERA,2011,216445
FORD,TRANSIT CUSTOM,2013,218810
PEUGEOT,508,2014,220240
VOLKSWAGEN,PASSAT,2009,220526
VOLKSWAGEN,POLO,2014,221439
FIAT,DOBLO,2007,221753
RENAULT,MEGANE II,2006,222544
SKODA,OCTAVIA,2015,224013
LADA,VEGA WAGON,2000,226726
